,so_ky_hieu,ngay_ban_hanh,trich_yeu,hieu_luc,pdf
10,1657/QĐ-UBND,12/07/2022,cho phép công ty tnhh ngọc thành việt nam chuyển mục đích sử dụng đất từ đất nông nghiệp sang đất cơ sở sản xuất phi nông nghiệp tại xã ,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5454/1657-QD.signed.pdf
11,80/KH-BCĐBVMT,11/07/2022,"kế hoạch tổ chức diễn tập phương án phòng ngừa, ứng phó sự cố môi trường do cháy, nổ trên địa bàn tỉnh năm 2022",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5452/80-BCD.signed.pdf
12,80/KH-BCĐBVMT,11/07/2022,"kế hoạch tổ chức diễn tập phương án phòng ngừa, ứng phó sự cố môi trường do cháy, nổ trên địa bàn tỉnh năm 2022",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5452/80-BCD.signed.pdf
13,3445/UBND-KT,08/07/2022,"thực hiện các giải pháp nâng cao chất lượng quản lý và trách nhiệm chủ đầu tư, đơn vị tư vấn, đơn vị thi công tham gia thực hiện các dự án đầu tư công",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5451/3445-KT.signed.pdf
14,1631/QĐ-UBND,08/07/2022,"ban hành kế hoạch đặt hàng đào tạo nghề trình độ sơ cấp cho thanh niên hoàn thành nghĩa vụ quân sự, nghĩa vụ công an, thanh niên tình nguyện hoàn thành nhiệm vụ thực hiện chương trình, dự án phát triển kinh tế - xã hội năm 2022",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5453/1631-QD.signed.pdf
15,3369/UBND-KT,06/07/2022,"về việc phân luồng giao thông theo giờ, theo tuyến đối với một số tuyến đường trên địa bàn tỉnh (chuyển từ thí điểm sang chính thức).",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5433/3369-KT.signed%20(1).pdf
16,1604/QĐ-UBND,05/07/2022,"thu hồi đất của công ty liên doanh tnhh khu công nghiệp việt nam singapore; giao ubnd thị xã tân uyên quản lý, giao đất tái định cư thuộc dự án khu dân cư ấp 1 vĩnh tân tại phường vĩnh tân, thị xã tân uyên",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5435/1604-QD.signed.pdf
17,1603/QĐ-UBND,05/07/2022,"cho phép công ty tnhh pottery craft asia chuyển từ hình thức nhà nước cho thuê đất thu tiền thuê đất hàng năm sang hình thức nhà nước cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê tại phường khánh bình, thị xã tân uyên",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5434/1603-QD.signed.pdf
18,1602/QĐ-UBND,05/07/2022,"cho phép công ty tnhh nhật quang chuyển từ hình thức nhà nước cho thuê đất thu tiền thuê đất hàng năm sang hình thức nhà nước cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê tại phường khánh bình, thị xã tân uyên",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5443/1602-QD.signed.pdf
19,1601/QĐ-UBND,05/07/2022,"thu hồi đất do ubnd thành phố dĩ an quản lý; giao đất không thu tiền sử dụng đất cho trường thpt nguyễn thị minh khai tại phường tân đông hiệp, thành phố dĩ an",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5442/1601-QD.signed.pdf
20,1600/QĐ-UBND,05/07/2022,thu hồi khu đất đã được ủy ban nhân dân tỉnh giao đất cho công ty cổ phần đầu tư nguyễn khoa để xây dựng bệnh viện chuyên khoa tim mạch tại quyết định số 3263/qđ-ubnd ngày 23/11/2012 ,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5436/1600-QD.signed.pdf
21,1599/QĐ-UBND,05/07/2022,"cho phép công ty tnhh tư vấn thiết kế xây dựng kim hưng thịnh chuyển từ hình thức nhà nước cho thuê đất thu tiền thuê đất hàng năm sang hình thức nhà nước cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê tại phường vĩnh tân, thị xã tân uyên",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5441/1599-QD.signed.pdf
22,1598/QĐ-UBND,05/07/2022,"cho phép công ty tnhh phương đông chuyển từ hình thức nhà nước cho thuê đất thu tiền thuê đất hàng năm sang hình thức nhà nước cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê tại phường khánh bình, thị xã tân uyên",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5440/1598-QD.signed.pdf
23,1587/QĐ-UBND,05/07/2022,điều chỉnh chương trình làm việc 6 tháng cuối năm 2022 của ubnd tỉnh,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5430/1587-QD.signed.pdf
24,1606/QĐ-UBND,05/07/2022,"điều chỉnh mục đích sử dụng đất, hình thức sử dụng đất đối với khu đất đã giao cho công ty tnhh xây dựng kinh doanh dịch vụ thương mại đông nam để thực hiện dự án khu dân cư ngãi thắng tại phường bình thắng, thành phố dĩ an",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5444/1606-QD.signed.pdf
25,1605/QĐ-UBND,05/07/2022,"thu hồi đất của công ty liên doanh tnhh khu công nghiệp việt nam - singapore; giao ủy ban nhân dân thị xã tân uyên quản lý, giao đất tái định cư thuộc dự án khu dân cư ấp 5 vĩnh tân tại phường vĩnh tân, thị xã tân uyên",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5445/1605-QD.signed.pdf
26,1604/QĐ-UBND,05/07/2022,"thu hồi đất của công ty liên doanh tnhh khu công nghiệp việt nam singapore; giao ubnd thị xã tân uyên quản lý, giao đất tái định cư thuộc dự án khu dân cư ấp 1 vĩnh tân tại phường vĩnh tân, thị xã tân uyên",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5435/1604-QD.signed.pdf
27,1603/QĐ-UBND,05/07/2022,"cho phép công ty tnhh pottery craft asia chuyển từ hình thức nhà nước cho thuê đất thu tiền thuê đất hàng năm sang hình thức nhà nước cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê tại phường khánh bình, thị xã tân uyên",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5434/1603-QD.signed.pdf
28,1602/QĐ-UBND,05/07/2022,"cho phép công ty tnhh nhật quang chuyển từ hình thức nhà nước cho thuê đất thu tiền thuê đất hàng năm sang hình thức nhà nước cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê tại phường khánh bình, thị xã tân uyên",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5443/1602-QD.signed.pdf
29,1601/QĐ-UBND,05/07/2022,"thu hồi đất do ubnd thành phố dĩ an quản lý; giao đất không thu tiền sử dụng đất cho trường thpt nguyễn thị minh khai tại phường tân đông hiệp, thành phố dĩ an",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5442/1601-QD.signed.pdf
30,1600/QĐ-UBND,05/07/2022,thu hồi khu đất đã được ủy ban nhân dân tỉnh giao đất cho công ty cổ phần đầu tư nguyễn khoa để xây dựng bệnh viện chuyên khoa tim mạch tại quyết định số 3263/qđ-ubnd ngày 23/11/2012 ,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5436/1600-QD.signed.pdf
31,1599/QĐ-UBND,05/07/2022,"cho phép công ty tnhh tư vấn thiết kế xây dựng kim hưng thịnh chuyển từ hình thức nhà nước cho thuê đất thu tiền thuê đất hàng năm sang hình thức nhà nước cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê tại phường vĩnh tân, thị xã tân uyên",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5441/1599-QD.signed.pdf
32,1598/QĐ-UBND,05/07/2022,"cho phép công ty tnhh phương đông chuyển từ hình thức nhà nước cho thuê đất thu tiền thuê đất hàng năm sang hình thức nhà nước cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê tại phường khánh bình, thị xã tân uyên",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5440/1598-QD.signed.pdf
33,1595/QĐ-UBND,05/07/2022,ban hành danh mục nguồn nước nội tỉnh trên địa bàn tỉnh bình dương (nguồn nước mặt),Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5446/1595-QD.signed.pdf
34,1594/QĐ-UBND,05/07/2022,công bố thủ tục hành chính mới; thủ tục hành chính đặc thù; thủ tục hành chính được sửa đổi và thủ tục hành chính bị bãi bỏ thuộc thẩm quyền giải quyết của ban quản lý các khu công nghiệp bình dương,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5447/1594-QD.signed.pdf
35,1587/QĐ-UBND,05/07/2022,điều chỉnh chương trình làm việc 6 tháng cuối năm 2022 của ubnd tỉnh,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5430/1587-QD.signed.pdf
36,3229/KH-UBND,29/06/2022,triển khai chiến dịch tiêm vắc xin phòng covid-19 liều nhắc lại cho trẻ từ 12 đến 17 tuổi trên địa bàn tỉnh bình dương năm 2022,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5427/3229-KH.signed.pdf
37,3207/UBND-VX,28/06/2022,thực hiện thông báo số 180/tb-vpcp ngày 23/6/2022 về kết luận của phó thủ tướng chính phủ vũ đức đam tại cuộc họp trực tuyến với các địa phương về công tác phòng chống dịch bệnh,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5424/3207-VX.signed.pdf
38,3201/UBND-VX,28/06/2022,triển khai thực hiện thông tư số 04/2022/tt-btttt của bộ thông tin và truyền thông.,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5423/3201-VX.signed.pdf
39,3200/UBND-VX,28/06/2022,triển khai thực hiện thông tư số 03/2022/tt-btttt của bộ thông tin và truyền thông,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5421/3200-VX.signed.pdf
40,3199/UBND-VX,28/06/2022,triển khai thực hiện quyết định số 1137/qđ-btttt của bộ thông tin và truyền thông,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5422/1137QD.PDF.pdf
41,3196/UBND-VX,28/06/2022,triển khai thực hiện quyết định số 1002/qđ-bkhcn của bộ khoa học vả công nghệ,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5428/3196-VX.signed.pdf
42,3188/UBND-KT,28/06/2022,"chống thất thu thuế trong hoạt động kinh doanh, chuyển nhượng bất động sản",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5426/3188-KT.signed.pdf
43,3187/UBND-NC,28/06/2022,triển khai thực hiện kết luận của hđnd tỉnh về tình hình và kết quả thực hiện chỉ số papi,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5425/3187-NC.signed.pdf
44,3179/UBND-NC,28/06/2022,"tăng cường thực hiện quy định về phòng, chống tác hại của rượu, bia trong hoạt động giao thông vận tải",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5411/3179-NC.signed.pdf
45,1526/QĐ-UBND,28/06/2022,ban hành danh mục các lĩnh vực ứng dụng kết quả nghiên cứu khcn được khuyến khích cho vay và bảo lãnh vay đến năm 2025,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5450/VB_den_so_109.pdf
46,1495/QĐ-UBND,24/06/2022,"giao đất không thu tiền sử dụng đất cho chi hội tin lành hòa phú (trực thuộc hội thánh tin lành việt nam - miền nam) tại phường hòa phú, thành phố thủ dầu một",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5409/1495-QD.signed.pdf
47,1492/QĐ-UBND,24/06/2022,"điều chỉnh điều 1 tại quyết định số 2546/qđ-ubnd ngày 08/11/2021 của ủy ban nhân dân tỉnh về việc thu hồi đất của công ty tnhh mtv cao su dầu tiếng để thực hiện công trình nâng cấp, mở rộng đường đt750 (đoạn từ ngã tư làng 5 đến trung tâm xã định hiệp)",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5414/1492-QD.signed.pdf
48,1502/QĐ-UBND,24/06/2022,"cho phép công ty tnhh vi na sa kê chuyển mục đích sử dụng đất để thực hiện dự án khu nhà ở thành lợi tại phường tân hiệp, thị xã tân uyên ",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5419/1502-QD.signed.pdf
49,1501/QĐ-UBND,24/06/2022,điều chỉnh quyết định số 224/qđ-ubnd ngày 19/01/2022 của ủy ban nhân dân tỉnh đối với tổng công ty đầu tư và phát triển công nghiệp – ctcp,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5420/1501-QD.signed.pdf
50,1500/QĐ-UBND,24/06/2022,"cho phép tập đoàn bưu chính viễn thông việt nam gia hạn sử dụng đất tại xã minh hòa và thị trấn dầu tiếng, huyện dầu tiếng ",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5418/1500-QD.signed.pdf
51,1499/QĐ-UBND,24/06/2022,"cho phép tập đoàn bưu chính viễn thông việt nam gia hạn sử dụng đất tại phường thới hòa, thị xã bến cát ",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5415/1499-QD.signed.pdf
52,1498/QĐ-UBND,24/06/2022,"cho phép tập đoàn bưu chính viễn thông việt nam gia hạn thời gian thuê đất tại phường phú hòa, thành phố thủ dầu một",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5416/1498-QD.signed.pdf
53,1496/QĐ-UBND,24/06/2022,"thu hồi đất do ủy ban nhân dân huyện bàu bàng quản lý; giao đất không thu tiền sử dụng đất cho trường tiểu học kim đồng tại xã lai hưng, huyện bàu bàng",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5417/1496-QD.signed.pdf
54,1495/QĐ-UBND,24/06/2022,"giao đất không thu tiền sử dụng đất cho chi hội tin lành hòa phú (trực thuộc hội thánh tin lành việt nam - miền nam) tại phường hòa phú, thành phố thủ dầu một",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5409/1495-QD.signed.pdf
55,1492/QĐ-UBND,24/06/2022,"điều chỉnh điều 1 tại quyết định số 2546/qđ-ubnd ngày 08/11/2021 của ủy ban nhân dân tỉnh về việc thu hồi đất của công ty tnhh mtv cao su dầu tiếng để thực hiện công trình nâng cấp, mở rộng đường đt750 (đoạn từ ngã tư làng 5 đến trung tâm xã định hiệp)",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5414/1492-QD.signed.pdf
56,3093/UBND-VX,23/06/2022,thực hiện công điện số 815/cđ-byt ngày 21/6/2022 của bộ y tế,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5408/3093-VX.signed.pdf
